"filename", "language", "XML", "Java", "comment", "blank", "total"
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Bless.java", "Java", 0, 37, 1, 12, 50
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\BurningHands.java", "Java", 0, 39, 2, 12, 53
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\CharmPerson.java", "Java", 0, 37, 1, 11, 49
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\ChromaticOrb.java", "Java", 0, 35, 1, 11, 47
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\ColorSpray.java", "Java", 0, 32, 1, 11, 44
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Command.java", "Java", 0, 40, 7, 12, 59
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\CompelledDuel.java", "Java", 0, 33, 3, 11, 47
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\ComprehendLanguages.java", "Java", 0, 31, 2, 9, 42
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\CreateOrDestroyWater.java", "Java", 0, 33, 4, 10, 47
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\CureWounds.java", "Java", 0, 34, 1, 13, 48
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\DetectEvilAndGood.java", "Java", 0, 32, 2, 11, 45
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\DetectMagic.java", "Java", 0, 35, 3, 9, 47
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\DetectPoisonAndDisease.java", "Java", 0, 34, 2, 12, 48
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\DisguiseSelf.java", "Java", 0, 34, 3, 11, 48
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\DissonantWhispers.java", "Java", 0, 37, 1, 10, 48
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\DivineFavor.java", "Java", 0, 32, 2, 11, 45
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\DivineSmite.java", "Java", 0, 39, 3, 11, 53
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\EnsnaringStrike.java", "Java", 0, 38, 3, 10, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Entangle.java", "Java", 0, 31, 2, 9, 42
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\ExpeditiousRetreat_.java", "Java", 0, 29, 3, 10, 42
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\FaerieFire.java", "Java", 0, 41, 2, 12, 55
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\FalseLife.java", "Java", 0, 51, 1, 12, 64
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\FeatherFall.java", "Java", 0, 31, 1, 9, 41
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\FindFamiliar.java", "Java", 0, 28, 3, 10, 41
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\FogCloud.java", "Java", 0, 32, 3, 10, 45
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Goodberry.java", "Java", 0, 31, 3, 9, 43
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Grease.java", "Java", 0, 32, 2, 8, 42
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\GuidingBolt.java", "Java", 0, 37, 2, 9, 48
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\HailOfThorns.java", "Java", 0, 38, 1, 9, 48
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\HealingWord.java", "Java", 0, 34, 1, 10, 45
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\HellishRebuke.java", "Java", 0, 42, 3, 11, 56
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Heroism.java", "Java", 0, 37, 2, 12, 51
