"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\interfaces\DiceRoll.java", "Java", 12, 0, 3, 9, 24
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\PlayerClass.java", "Java", 711, 0, 68, 124, 903
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\PlayerClassInterface.java", "Java", 7, 0, 0, 2, 9
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\SpellSlots.java", "Java", 172, 0, 6, 60, 238
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Barbarian.java", "Java", 25, 0, 8, 16, 49
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Bard.java", "Java", 66, 0, 11, 24, 101
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Cleric.java", "Java", 86, 0, 13, 26, 125
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Druid.java", "Java", 89, 0, 13, 23, 125
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Fighter.java", "Java", 34, 0, 11, 16, 61
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Monk.java", "Java", 28, 0, 11, 12, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Paladin.java", "Java", 57, 0, 13, 24, 94
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Ranger.java", "Java", 66, 0, 13, 23, 102
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Rogue.java", "Java", 12, 0, 0, 4, 16
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Sorcerer.java", "Java", 61, 0, 9, 20, 90
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Warlock.java", "Java", 57, 0, 9, 31, 97
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\classes\Wizard.java", "Java", 80, 0, 26, 23, 129
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\FeatureAbstract.java", "Java", 242, 0, 10, 94, 346
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\BardicInspiration.java", "Java", 65, 0, 20, 12, 97
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\FavoredEnemy.java", "Java", 54, 0, 7, 14, 75
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\InnateSorcery.java", "Java", 43, 0, 10, 9, 62
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\LayOnHands.java", "Java", 68, 0, 18, 16, 102
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\MartialArts.java", "Java", 66, 0, 25, 9, 100
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\Rage.java", "Java", 94, 0, 36, 18, 148
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\SecondWind.java", "Java", 35, 0, 2, 13, 50
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\SneakAttack.java", "Java", 54, 0, 5, 10, 69
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\UnarmoredDefense.java", "Java", 37, 0, 3, 11, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\class_features\WeaponMastery.java", "Java", 43, 0, 4, 18, 65
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\eldritch_invocations\ArmorOfShadows.java", "Java", 29, 0, 0, 11, 40
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\eldritch_invocations\EldritchMind.java", "Java", 26, 0, 0, 8, 34
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\eldritch_invocations\PactOfTheBlade.java", "Java", 47, 0, 19, 9, 75
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\eldritch_invocations\PactOfTheChain.java", "Java", 39, 0, 10, 8, 57
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\eldritch_invocations\PactOfTheTome.java", "Java", 60, 0, 14, 16, 90
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\Archery.java", "Java", 28, 0, 2, 10, 40
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\Defense.java", "Java", 51, 0, 5, 12, 68
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\Dueling.java", "Java", 32, 0, 5, 8, 45
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\GreatWeaponFighting.java", "Java", 34, 0, 7, 8, 49
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\Interception.java", "Java", 35, 0, 8, 8, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\Protection.java", "Java", 36, 0, 9, 8, 53
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\ThrownWeaponFighting.java", "Java", 29, 0, 3, 6, 38
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\TwoWeaponFighting.java", "Java", 29, 0, 4, 6, 39
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\player_class\features\fighting_style_features\UnarmedFighting.java", "Java", 34, 0, 10, 6, 50
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Aasimar.java", "Java", 42, 0, 11, 14, 67
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Dragonborn.java", "Java", 57, 0, 8, 14, 79
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Dwarf.java", "Java", 44, 0, 10, 13, 67
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Elf.java", "Java", 56, 0, 10, 17, 83
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Gnome.java", "Java", 56, 0, 9, 15, 80
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Goliath.java", "Java", 59, 0, 11, 15, 85
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Halfling.java", "Java", 40, 0, 7, 13, 60
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Human.java", "Java", 54, 0, 6, 25, 85
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Orc.java", "Java", 48, 0, 7, 15, 70
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Race.java", "Java", 30, 0, 12, 21, 63
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\RaceInterface.java", "Java", 7, 0, 0, 6, 13
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\races\Tiefling.java", "Java", 56, 0, 8, 14, 78
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\skills\Ability.java", "Java", 109, 0, 4, 37, 150
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\skills\ConditionEffect.java", "Java", 49, 0, 2, 21, 72
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\skills\Skill.java", "Java", 75, 0, 6, 27, 108
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\SpellAbstract.java", "Java", 281, 0, 31, 92, 404
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\SpellInterface.java", "Java", 9, 0, 0, 3, 12
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\AcidSplash.java", "Java", 42, 0, 1, 11, 54
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\BladeWard.java", "Java", 28, 0, 0, 10, 38
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\ChillTouch.java", "Java", 41, 0, 0, 10, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\DancingLights.java", "Java", 30, 0, 3, 10, 43
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\DruidCraft.java", "Java", 31, 0, 4, 10, 45
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\EldritchBlast.java", "Java", 42, 0, 2, 7, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Elementalism.java", "Java", 33, 0, 6, 10, 49
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\FireBolt.java", "Java", 41, 0, 0, 11, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Friends.java", "Java", 28, 0, 3, 10, 41
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Guidance.java", "Java", 28, 0, 1, 12, 41
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Light.java", "Java", 26, 0, 3, 11, 40
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\MageHand.java", "Java", 28, 0, 3, 10, 41
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Mending.java", "Java", 28, 0, 3, 10, 41
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Message.java", "Java", 29, 0, 3, 10, 42
